"variable_id","unit","full_name","explanation","fc","p_value","p_value_adjust"
"L2CH","mg/dL","LDL-2-Cholesterol",NA,1.81245395337872,3.0560161635144e-05,0.00139026829695628
"L3CH","mg/dL","LDL-3-Cholesterol",NA,1.46093385732365,0.000446341469011601,0.00317864302145043
"L4CH","mg/dL","LDL-4-Cholesterol",NA,0.934770260519812,0.425931007682189,0.48677829449393
"L5CH","mg/dL","LDL-5-Cholesterol",NA,0.864975603653196,0.0895563463530981,0.160585505436957
"L6CH","mg/dL","LDL-6-Cholesterol",NA,1.12944708814865,0.108965106824085,0.179471940651434
"L1FC","mg/dL","LDL-1-Free Cholesterol",NA,1.29189534821762,0.000937854732507584,0.00583554055782497
"L2FC","mg/dL","LDL-2-Free Cholesterol",NA,1.51288024116196,7.82226195318094e-05,0.00146015556459378
"L3FC","mg/dL","LDL-3-Free Cholesterol",NA,1.34440269643054,0.000153200840453201,0.00190649934786205
"L4FC","mg/dL","LDL-4-Free Cholesterol",NA,0.999813406726688,0.997539331935881,0.998871656690402
"L5FC","mg/dL","LDL-5-Free Cholesterol",NA,0.938539222686933,0.315342394504676,0.375727108345997
"L6FC","mg/dL","LDL-6-Free Cholesterol",NA,1.13051182098922,0.055776146636231,0.120133238908805
"L1PL","mg/dL","LDL-1-Phospholipids",NA,1.24602576003713,0.00218802878587878,0.00980236896073695
"L2PL","mg/dL","LDL-2-Phospholipids",NA,1.65807035942416,2.10370269510919e-05,0.00139026829695628
"L3PL","mg/dL","LDL-3-Phospholipids",NA,1.37362309099735,0.000482472601470154,0.00317864302145043
"L4PL","mg/dL","LDL-4-Phospholipids",NA,0.933261541859951,0.364201579159496,0.424901842352746
"L5PL","mg/dL","LDL-5-Phospholipids",NA,0.872168884077377,0.0742547810266016,0.143388542672058
"L6PL","mg/dL","LDL-6-Phospholipids",NA,1.11961805127193,0.0844586412467637,0.160277455853998
"L1AB","mg/dL","LDL-1-Apo B100",NA,1.2675241952939,0.00167347326969514,0.00780954192524401
"L2AB","mg/dL","LDL-2-Apo B100",NA,1.62115063260921,4.96134363020663e-05,0.00139026829695628
"L3AB","mg/dL","LDL-3-Apo B100",NA,1.37733898848772,0.00047121916216101,0.00317864302145043
"L4AB","mg/dL","LDL-4-Apo B100",NA,0.896241536878873,0.177091380718898,0.260976771585745
"L5AB","mg/dL","LDL-5-Apo B100",NA,0.869726262535008,0.0971314260538147,0.164829086636776
"L6AB","mg/dL","LDL-6-Apo B100",NA,1.10947050339949,0.169514525656958,0.256925206939477
"H1TG","mg/dL","HDL-1-Triglyceride",NA,1.16805403930131,0.086141801784806,0.160277455853998
"H2TG","mg/dL","HDL-2-Triglyceride",NA,0.919994896006125,0.286488782974352,0.348768953186168
"H3TG","mg/dL","HDL-3-Triglyceride",NA,0.802235401459854,0.0058145867210434,0.021007539121189
"H4TG","mg/dL","HDL-4-Triglyceride",NA,0.759973945611464,0.000436150134701697,0.00317864302145043
"H1CH","mg/dL","HDL-1-Cholesterol",NA,1.47419196166479,7.80879788236869e-05,0.00146015556459378
"H2CH","mg/dL","HDL-2-Cholesterol",NA,1.10761843035588,0.0621058173528919,0.128812065620813
"H3CH","mg/dL","HDL-3-Cholesterol",NA,0.954047392439661,0.238034305774896,0.323384102126774
"H4CH","mg/dL","HDL-4-Cholesterol",NA,0.869858732341543,0.00495882734731917,0.0191513332034396
"H1FC","mg/dL","HDL-1-Free Cholesterol",NA,1.37721710065233,0.000232249335067726,0.00236472050250775
"H2FC","mg/dL","HDL-2-Free Cholesterol",NA,1.07630342358469,0.193250926243545,0.27397599669971
"H3FC","mg/dL","HDL-3-Free Cholesterol",NA,1.00368731563422,0.943112443818979,0.978042534330793
"H4FC","mg/dL","HDL-4-Free Cholesterol",NA,0.932623894079069,0.145648843276889,0.233038149243023
"H1PL","mg/dL","HDL-1-Phospholipids",NA,1.40747295478339,0.000420567383614035,0.00317864302145043
